Date,Tweet_Text,Tweet_Id,User_Id,User_Name,User_Screen_Name,Retweets,Favorites,Class,Tweet_length,Number_of_URL,No_of_@_word,No_of_hash_word,Length_of_User_Name,Number_of_Spam_Word,Number_of_Swear_Word,New_Feature
2011-08-02 19:43:2,Reminder: We're live from London and New York for Samsung's Galaxy ... http://pinkbandelinosandals.tk/bass-sandal.htmlÂ â€¦,9.85e+16,82633817,Emploi Master,82633817,0.0,0.0,1.0,111,0,0,0,8,0,0,0
2011-08-02 19:43:3,Brick Lane  riots happening! This is the good London_ lets go back to that! pic.twitter.com/AvwjrE5  http://bit.ly/lpXWPV,9.85e+16,17162931,tom forde,17162931,0.0,0.0,1.0,104,0,0,0,8,0,0,0
2011-08-02 19:43:4,@Duane_Pipey @mo_shelk I feel the mere mention of our team getting together has sent shockwaves throughout London. No one has dared come out,9.85e+16,34910709,Cars for Sale,34910709,0.0,0.0,1.0,118,0,2,0,8,0,0,2
2011-08-02 19:43:5,www.mad2miss.ws London 2012 Olympic tickets can be won with National Lottery game ... http://tinyurl.com/3d6lzrt www.mad2miss.ws,9.85e+16,22781954,Stephanie Latham,22781954,0.0,0.0,1.0,114,0,0,0,8,0,0,0
2011-08-02 19:44:1,To everyone helping clean up London_ you guys are amazing. Bless your souls.,9.85e+16,294345767,C D Moorby,294345767,0.0,0.0,1.0,64,0,0,0,9,0,0,0
2011-08-02 19:44:2,#LondonRiots: Social Media Mobilizes Riot Cleanup http://ow.ly/5ZiGB #riotcleanup #socialmedia,9.85e+16,130980662,JAN Trust,130980662,0.0,0.0,1.0,86,0,0,3,9,0,0,3
2011-08-02 19:44:2,@FullMentalJaiky I lived in Dennistoun for 7Â½ years. Moved away 6 years ago. From London originally.,9.85e+16,85620612,Sussi,85620612,0.0,0.0,1.0,86,0,1,0,8,0,0,1
2011-08-02 19:44:2,@planetjedward woo it been such a made scary day where I live east London near all the riot so not cool I hate it all wish it would stop x,9.85e+16,53473778,Rolland Martin,53473778,0.0,0.0,1.0,109,0,1,0,8,0,0,1
2011-08-02 19:44:3,To all my friends who may be participating in the London riots: rob a safe_ send me money. #roitmore #stealmore #givememore … #cancan_canla,9.85e+16,150024569,Stephen Smith,150024569,0.0,0.0,1.0,117,0,0,4,9,0,0,4
2011-08-02 19:44:3,News: London: AbhÃ¶rskandal: Â«News of the WorldÂ» wird eingestellt - ZEIT ONLINE: serienjunkies.deLo... http://bit.ly/nCiiZU #news #google,9.85e+16,265714107,Tatenda #L.T.D,265714107,0.0,0.0,1.0,124,0,0,2,9,0,0,2
2011-08-02 19:46:4,I Miss That Time - Kevin Koschutnig! echt een goed nummer! --> ja het herinnerd me aan London <3 ! @youtube,9.85e+16,339028492,News Online Today,339028492,0.0,0.0,1.0,87,0,1,0,9,0,0,1
2011-08-02 19:47:3,If uk cannot guide their own children how can tHey talk about the problems of othr countries.. shame... #ukcrisis_ #london,9.85e+16,288516762,Lee David Bowen,288516762,0.0,0.0,1.0,103,0,0,2,9,0,0,2
2011-08-02 19:48:0,@fashionhayley I'll enter London comp too and then maybe we can both win so you can take your husband and i can take my_ err_ pot plant.,9.85e+16,37771961,Bleacher Report NHL,37771961,0.0,0.0,1.0,110,0,1,0,8,0,0,1
2011-08-02 19:48:3,The #riot striking thing about this viral @London cleanup photo is that the brooms are uniform & not the only shape I'm used to http://www.bbc.co.uk/news/magazine-14475741¦,9.85e+16,144541667,Darth Meerkat,144541667,0.0,0.0,1.0,148,0,1,1,9,0,0,2
2011-08-02 19:49:2,http://www.abc.net.au/news/2011-08-07/riot-breaks-out-in-london/2827852Â â€¦ riot in London #Anonymous #Antisec,9.85e+16,255858224,Lisa B.,255858224,1.0,0.0,1.0,106,0,0,2,9,0,0,2
2011-08-02 19:49:2,@sarahciaraxox Jews in London,9.85e+16,321178600,SwallowMyBULLETS!!!!,321178600,0.0,0.0,1.0,26,0,1,0,9,0,0,1
2011-08-02 19:49:5,@WombatJail I hope you've not been mixing cocktails in the northern parts of that London.,9.85e+16,108140041,Australian Equities,108140041,0.0,0.0,1.0,75,0,1,0,9,0,0,1
2011-08-02 19:49:5,@london_vaughn btops nukka. Good to see you #;),9.85e+16,343642441,MariaNamiiro,343642441,0.0,0.0,1.0,40,0,1,1,9,0,0,2
2011-08-02 19:50:0,#londonroit : Rachel Stevens opts for some zany #trousers as she takes daughter Amelie out in London: The 33-year-old star team... http://bit.ly/qm8Srm,9.85e+16,91206387,Tom Houslay,91206387,0.0,0.0,1.0,130,0,0,2,8,0,0,2
2011-08-02 19:50:2,Blazes_ looting in London riot - Yahoo! News http://yhoo.it/ofxHxrÂ  via @YahooNews,9.85e+16,14944542,DamonAustin,14944542,0.0,0.0,1.0,73,0,1,0,8,0,0,1
2011-08-02 19:50:4,@DiscusDan well done buddy! Well proud! Making the future! Amazing! Your leading the way to london by far! Muchos love,9.85e+16,32780740,Hamad Mohamed,32780740,0.0,0.0,1.0,99,0,1,0,8,0,0,1
2011-08-02 19:51:2,RT @MikeBealesoccer: Last chance to sign up and join 140 coaches at our free SSG Workshop on 21st Aug at London (cont) http://tl.gd/c7h6pd,9.85e+16,338966187,Hedge Fund/Quant,338966187,0.0,0.0,1.0,116,0,1,0,9,0,0,1
2011-08-02 19:51:2,Photo: Big Ben- London_ England http://tumblr.com/xhc3xuckp7,9.85e+16,167786742,Sin Vega,167786742,0.0,0.0,1.0,55,0,0,0,9,0,0,0
2011-08-02 19:51:5,SB> Blazes_ looting in London riot: http://bit.ly/qF9WSX #Rioters went on a rampage in north London_ torching #Police cars_ a bus and a... http://bit.ly/qF9WSX,9.85e+16,290963963,Cassius,290963963,0.0,0.0,1.0,137,0,0,2,9,0,0,2
2011-08-02 19:52:0,Take away the media from North #London right now http://dlvr.it/dSS2z  and you take away the crowds with further potential problems.Just a thought.....  http://dlvr.it/dSS2z ,9.85e+16,93270854,Harley Quinn,93270854,0.0,0.0,1.0,149,0,0,1,8,0,0,1
2011-08-02 19:52:4,#ebz Death is not always permanent in Fallen London. This has caused the quiet and unacknowledged... http://fallenlondon.com/c/1322170,9.85e+16,174340580,Cyn,174340580,0.0,0.0,1.0,118,0,0,1,9,0,0,1
2011-08-02 19:53:0,North London doe WTF!,9.85e+16,20452327,Media Jobs in London,20452327,0.0,0.0,1.0,18,0,0,0,8,0,0,0
2011-08-02 19:53:0,Keyboard Player Wanted - London United Kingdom #job  http://jobsurl.com/wlr2,9.85e+16,20452327,Media Jobs in London,20452327,87.0,67.0,-1.0,67,0,0,1,8,0,0,1
2011-08-02 19:53:0,@musicbox120 That's a fantastic age to visit London. You'll have an amazing time. (and get very drunk). ;),9.85e+16,9994642,milkandsugar,9994642,0.0,0.0,1.0,89,0,1,0,7,0,0,1
2011-08-02 19:53:0,Well_ for London_ I hope the online purchase went well. It went a bit funny...,9.85e+16,9994642,milkandsugar,9994642,11.0,12.0,1.0,64,0,0,0,7,0,0,0
2011-08-02 19:53:3,Buno buenoo ...... I london,9.85e+16,66790635,Elliott Risby,66790635,0.0,0.0,1.0,23,0,0,0,8,0,0,0
2011-08-02 19:53:3,Some great ads by Santo London http://www.santobuenosaires.net/Â ,9.85e+16,66790635,Elliott Risby,66790635,12.0,45.0,1.0,59,0,0,0,8,0,0,0
2011-08-02 19:53:5,RT @Rocksicle_Lover: RT @tink_a_licious: ***Selling 2 tickets to London show. Floor 2. Row J***. Please RT,9.85e+16,1323671,Blog Bloke (BB),1323671,0.0,0.0,1.0,91,0,2,0,7,0,0,2
2011-08-02 19:53:5,Virgin Media to 'take a punt' at  FREE London WiFi network http://tgr.ph/poJSEO,9.85e+16,1323671,Blog Bloke (BB),1323671,34.0,6.0,1.0,67,0,0,0,7,0,0,0
2011-08-02 19:54:2,"""Assisti a """"90210: I See London_ I See France..."""" s3ep7 http://j.mp/bxfKOs #orangotag""",9.85e+16,41853906,Sabrina Dresch,41853906,23.0,78.0,1.0,77,0,0,1,8,0,0,1
2011-08-02 19:54:2,@London_Training - happy to support lical business!! #jobs,9.85e+16,142358100,chris kulbaba,142358100,21.0,31.0,1.0,51,0,1,1,9,0,0,2
2011-08-02 19:54:2,@greysonchance i would be your Little London Girl <3 #HoldOnTilTheNight,9.85e+16,142358100,chris kulbaba,142358100,0.0,0.0,1.0,62,0,1,1,9,0,0,2
2011-08-02 19:54:2,London 2012 Olympics: canoeist Ella Nicholas has the chance to put the Cook Islands on the map http://bit.ly/oKlyE8Â ,9.85e+16,41853906,Sabrina Dresch,41853906,0.0,0.0,1.0,100,0,0,0,8,0,0,0
2011-08-02 19:54:2,RT @Rocksicle_Lover: RT @tink_a_licious: ***Selling 2 tickets to London show. Floor 2. Row J***. Please RT,9.85e+16,23536373,DWAirFreqFlyer Kelly,23536373,6.0,7.0,1.0,91,0,2,0,8,0,0,2
2011-08-02 19:54:2,I was just walking home to clapton from Stoke Newington and could hear a load of sirens.  Thought it was typical North London not RIOT TIME,9.85e+16,23536373,DWAirFreqFlyer Kelly,23536373,1.0,0.0,1.0,113,0,0,0,8,0,0,0
2011-08-02 19:54:3,London IT Jobs: http://itjobdatabase.com/london #london #IT #Jobs #ITJDB,9.85e+16,319829160,yo,319829160,0.0,0.0,1.0,65,0,0,4,9,0,0,4
2011-08-02 19:54:3,RT @WorldofSimpson @greysonchance #HoldonTiltheNight Little london girl ! And (vid) London Riots - Police Overrun in Woolwich #Uksucks #UKRiots #LondonRiots #londonZooAttack| Nothing but animals http://goo.gl/QP1j7 and http://goo.gl/QP1j7,9.85e+16,319829160,yo,319829160,78.0,76.0,-1.0,212,0,2,5,9,0,0,7
2011-08-02 19:55:0,@Tai_Monroe yeah but you got the London name. :-),9.85e+16,145258997,String Doll,145258997,6.0,2.0,1.0,41,0,1,0,9,0,0,1
2011-08-02 19:55:0,@DBoateng123 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.85e+16,145258997,String Doll,145258997,0.0,0.0,1.0,140,0,2,1,9,0,0,3
2011-08-02 19:55:5,@Chris_Hassall Thanks_ looking forward to it. Our recent dining experiences have been in Paris_ London & Tokyo. Will see how it compares!,9.85e+16,322745038,Bruna Camargo,322745038,0.0,0.0,1.0,116,0,1,0,9,0,0,1
2011-08-02 19:55:5,e tambem na Igreja em que o principe Willian se casou_ e tambem fomos no London eye *-* hj fomos em um museu de arte moderna_,9.85e+16,322745038,Bruna Camargo,322745038,23.0,33.0,1.0,100,0,0,0,9,0,0,0
2011-08-02 19:56:5,"""#ebz """"The Bazaar requires the London Magazine to change its name. The London Magazine has survive... http://fallenlondon.com/c/1324532""",9.85e+16,21147693,Danny,21147693,0.0,0.0,1.0,121,0,0,1,8,0,0,1
2011-08-02 19:56:5,10 bucks at London drugs = a whole lot of fun in rioting. http://campl.us/dfNJ and (vid) London Riots - Police Overrun in Woolwich #Uksucks #UKRiots #LondonRiots #londonZooAttack| Nothing but animals http://goo.gl/QP1j7 and http://goo.gl/QP1j7,9.85e+16,19134817,Michelle,19134817,62.0,87.0,-1.0,211,0,0,4,8,0,0,4
2011-08-02 19:56:5,London trains were a nightmare today. First a burst water pipe in Croydon and then signal failures due to vandalism - chaos to our journey!,9.85e+16,19134817,Michelle,19134817,0.0,0.0,1.0,115,0,0,0,8,0,0,0
2011-08-02 19:56:5,@kevkev She's just going to party it up in London now. Are you disappointed you don't get to see my drunk ass? Haha!,9.85e+16,21147693,Danny,21147693,0.0,0.0,1.0,94,0,1,0,8,0,0,1
2011-08-02 19:57:0,@DjPrivateRyan not long til u reach London....!,9.85e+16,106085229,Sugar n Spice,106085229,13.0,11.0,1.0,41,0,1,0,9,0,0,1
2011-08-02 19:57:0,RT @DjLanreDavies: @ydcoal watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.85e+16,106085229,Sugar n Spice,106085229,0.0,0.0,1.0,152,0,3,1,9,0,0,4
2011-08-02 19:57:0,must resist a mad shopping spree at @MasterU_London,9.85e+16,97243587,Vervain,97243587,23.0,45.0,1.0,44,0,1,0,8,0,0,1
2011-08-02 19:57:0,@Edyta_Sliwinska Hi Edyta -not able to see the show - in London for work. BUT_ glad for you and A! Onto Krakow - what's ur fave food?,9.85e+16,97243587,Vervain,97243587,0.0,0.0,1.0,107,0,1,0,8,0,0,1
2011-08-02 19:58:1,@tomo_edwards hahaahhaah. London tube was horrible today_ classroom sweat on my back. Blatchfords dad ..  http://lockerz.com/s/126066445,9.85e+16,29500460,Ben Nicky,29500460,4.0,7.0,1.0,120,0,1,0,8,0,0,1
2011-08-02 19:58:1,look after yourselves london people #brixton,9.85e+16,29500460,Ben Nicky,29500460,0.0,0.0,1.0,39,0,0,1,8,0,0,1
2011-08-02 19:58:4,@MixkidMuzikDJ no not anymore. I'm back in london,9.85e+16,162121563,Parris Alena,162121563,0.0,12.0,1.0,42,0,1,0,9,0,0,1
2011-08-02 19:58:4,@TheBritishChick haha joka! London is crap n idiots messin up d place. I bout yo riot pon d idiots yes lol,9.85e+16,162121563,Parris Alena,162121563,0.0,0.0,1.0,86,0,1,0,9,0,0,1
